city,curtime,temp
MSK,22.09,15
MSK,21.09,19
MSK,20.09,15
MSK,19.09,18
MSK,18.09,20
MSK,17.09,15
MSK,16.09,13
MSK,15.09,10
MSK,14.09,10
MSK,13.09,10
MSK,12.09,12
MSK,11.09,12
MSK,10.09,11
MSK,09.09,12
MSK,08.09,11
MSK,07.09,13
MSK,06.09,14
MSK,05.09,14
MSK,04.09,14
MSK,03.09,13
MSK,02.09,14
MSK,01.09,14
MSK,31.08,15
MSK,30.08,15
MSK,29.08,19
MSK,28.08,18
MSK,27.08,19
MSK,26.08,19
MSK,25.08,15
MSK,24.08,14
MSK,23.08,18
MSK,22.08,18
MSK,21.08,16
MSK,20.08,16
MSK,19.08,14
MSK,18.08,12
MSK,17.08,13
MSK,16.08,14
MSK,15.08,16
MSK,14.08,17
MSK,13.08,22
MSK,12.08,20
MSK,11.08,21
MSK,10.08,24
MSK,09.08,23
MSK,08.08,23
MSK,07.08,20
MSK,06.08,18
MSK,05.08,18
MSK,04.08,18
MSK,03.08,18
MSK,02.08,17
MSK,01.08,17
MSK,31.07,19
MSK,30.07,20
MSK,29.07,20
MSK,28.07,20
MSK,27.07,21
MSK,26.07,21
MSK,25.07,19
MSK,24.07,19
MSK,23.07,18
MSK,22.07,17
MSK,21.07,15
MSK,20.07,17
MSK,19.07,18
MSK,18.07,17
MSK,17.07,17
MSK,16.07,17
MSK,15.07,16
MSK,14.07,15
MSK,13.07,12
MSK,12.07,15
MSK,11.07,15
MSK,10.07,20
MSK,09.07,23
MSK,08.07,19
MSK,07.07,16
MSK,06.07,17
MSK,05.07,23
MSK,04.07,24
MSK,03.07,18
MSK,02.07,20
MSK,01.07,20
MSK,30.06,17
MSK,29.06,18
MSK,28.06,15
MSK,27.06,18
MSK,26.06,21
MSK,25.06,20
MSK,24.06,20
MSK,23.06,20
MSK,22.06,20
MSK,21.06,18
MSK,20.06,18
MSK,19.06,16
MSK,18.06,15
MSK,17.06,15
MSK,16.06,16
MSK,15.06,22
MSK,14.06,24
MSK,13.06,19
MSK,12.06,16
MSK,11.06,16
MSK,10.06,15
MSK,09.06,17
MSK,08.06,20
MSK,07.06,20
MSK,06.06,15
MSK,05.06,13
MSK,04.06,20
MSK,03.06,21
