city,curtime,temp,tempcount,clouds,rain,min,max,yearmax,yearmin
MSK,31.12,0,2,98,0,-15,3,2013,2014
MSK,31.12,1,4,100,0,-15,3,2013,2014
MSK,31.12,2,8,60,0,-15,3,2013,2014
MSK,31.12,3,6,83,0,-15,3,2013,2014
MSK,31.12,-7,6,66,2,-15,3,2013,2014
MSK,31.12,-8,3,100,0,-15,3,2013,2014
MSK,31.12,-9,5,38,2.9,-15,3,2013,2014
MSK,31.12,-10,3,33,0,-15,3,2013,2014
MSK,31.12,-12,2,100,0,-15,3,2013,2014
MSK,31.12,-14,1,100,0,-15,3,2013,2014
MSK,31.12,-15,1,100,0,-15,3,2013,2014
MSK,31.12,-6,3,100,4,-15,3,2013,2014
MSK,31.12,-11,1,25,0,-15,3,2013,2014
MSK,31.12,-5,2,100,2,-15,3,2013,2014
MSK,31.12,-2,6,100,0.2,-15,3,2013,2014
MSK,31.12,-1,2,100,0,-15,3,2013,2014
MSK,31.12,-4,1,100,0,-15,3,2013,2014
MSK,31.12,-3,4,100,0,-15,3,2013,2014
MSK,30.12,0,2,100,0.1,-17,3,2013,2014
MSK,30.12,1,3,100,0,-17,3,2013,2014
MSK,30.12,2,10,90,0,-17,3,2013,2014
MSK,30.12,3,8,87,0,-17,3,2013,2014
MSK,30.12,-17,2,-1,0,-17,3,2013,2014
MSK,30.12,-16,2,-1,0,-17,3,2013,2014
MSK,30.12,-15,7,-1,0,-17,3,2013,2014
MSK,30.12,-14,3,25,0,-17,3,2013,2014
MSK,30.12,-7,3,92,0,-17,3,2013,2014
MSK,30.12,-6,1,100,0,-17,3,2013,2014
MSK,30.12,-5,3,100,0,-17,3,2013,2014
MSK,30.12,-9,2,75,0,-17,3,2013,2014
MSK,30.12,-8,1,100,0,-17,3,2013,2014
MSK,30.12,-12,1,75,2,-17,3,2013,2014
MSK,30.12,-11,1,60,0,-17,3,2013,2014
MSK,30.12,-1,4,100,0.1,-17,3,2013,2014
MSK,30.12,-2,7,100,0.3,-17,3,2013,2014
MSK,29.12,0,2,100,0,-15,3,2013,2014
MSK,29.12,1,3,100,6,-15,3,2013,2014
MSK,29.12,2,5,38,0,-15,3,2013,2014
MSK,29.12,3,7,-1,0,-15,3,2013,2014
MSK,29.12,-15,9,21,0,-15,3,2013,2014
MSK,29.12,-14,3,0,0,-15,3,2013,2014
MSK,29.12,-13,2,0,0,-15,3,2013,2014
MSK,29.12,-4,8,94,4.6,-15,3,2013,2014
